question,reference_answer,expected_sources,required_answer_terms,required_context_terms,should_refuse,category,difficulty
正式员工每年有多少天带薪年假？,正式员工每个自然年度享有10天带薪年假。,01-leave-policy.md,10天|带薪年假,10天|带薪年假,false,休假,easy
连续申请4天年假要提前多久？,连续申请3天及以上年假需要至少提前5个工作日提交。,01-leave-policy.md,5个工作日,3天及以上|5个工作日,false,休假,medium
今年没用完的8天年假能全部结转吗？,不能；最多只能结转5天，并且结转年假必须在下一年度3月31日前使用。,01-leave-policy.md,最多|5天|3月31日,最多可结转5天|3月31日,false,休假,hard
连续请2天病假需要提供什么？,需要提供正规医疗机构出具的证明。,01-leave-policy.md,正规医疗机构|证明,连续病假达到2天|正规医疗机构,false,休假,medium
普通办公用品花了300元需要谁审批？,单笔低于500元的普通办公费用由直属主管审批。,02-expense-policy.md,直属主管,低于500元|直属主管,false,报销,easy
800元办公费用需要谁审批？,需要直属主管和财务负责人共同审批。,02-expense-policy.md,直属主管|财务负责人,达到或超过500元|财务负责人,false,报销,medium
购买6000元办公设备需要经过哪些人审批？,需要直属主管、财务负责人和部门负责人审批。,02-expense-policy.md,直属主管|财务负责人|部门负责人,达到或超过5000元|部门负责人,false,报销,hard
费用发生40天后才申请报销怎么办？,超过30个自然日提交时，需要部门负责人说明原因并额外审批。,02-expense-policy.md,部门负责人|说明原因|额外审批,超过30个自然日|说明原因,false,报销,medium
电子发票截图可以作为报销凭证吗？,不可以；电子发票需要上传原始PDF文件，截图不能代替原始电子发票。,02-expense-policy.md,不可以|原始PDF,截图不能代替|原始电子发票,false,报销,easy
通过试用期后每周最多远程办公几天？,每周最多可以申请2天远程办公。,03-remote-work-policy.md,2天|远程办公,通过试用期|每周最多|2天,false,远程办公,easy
远程办公要提前多久申请？,需要至少提前1个工作日在内部系统提交申请并获得直属主管批准。,03-remote-work-policy.md,1个工作日|直属主管,提前1个工作日|直属主管批准,false,远程办公,easy
季度复盘日可以申请远程办公吗？,不可以；季度复盘日不得安排远程办公。,03-remote-work-policy.md,不可以|季度复盘日,季度复盘日|不得安排远程办公,false,远程办公,medium
公司的核心协作时间是什么时候？,核心协作时间为10:00至16:00。,04-attendance-policy.md,10:00|16:00,核心协作时间|10:00至16:00,false,考勤,easy
忘记打卡后最晚什么时候补卡？,应在3个工作日内提交补卡申请。,04-attendance-policy.md,3个工作日,忘记打卡|3个工作日,false,考勤,easy
一个月可以因个人原因补卡多少次？,每个自然月最多允许3次因个人原因提交补卡申请。,04-attendance-policy.md,3次,每个自然月|最多允许3次,false,考勤,medium
北京出差住宿每晚上限是多少？,北京住宿标准上限为每晚600元。,05-business-travel-policy.md,600元,北京|每晚600元,false,差旅,easy
高铁单程需要4小时，可以买经济舱吗？,按一般标准不可以，应优先选择高铁二等座。,05-business-travel-policy.md,不可以|高铁二等座,不超过5小时|高铁二等座,false,差旅,medium
国际出差需要谁审批？,国际及港澳台出差需要直属主管和部门负责人审批。,05-business-travel-policy.md,直属主管|部门负责人,国际及港澳台|部门负责人,false,差旅,medium
公司账号密码最少多少位？,公司账号密码长度不得少于12位。,06-it-security-policy.md,12位,密码长度|不得少于12位,false,信息安全,easy
发现设备丢失后多久内报告？,应立即停止相关操作，并在30分钟内向信息安全团队报告。,06-it-security-policy.md,30分钟|信息安全团队,设备丢失|30分钟,false,信息安全,medium
可以把公司源代码上传到个人网盘吗？,不可以，公司源代码不得复制到个人网盘。,06-it-security-policy.md,不可以|个人网盘,公司源代码|不得复制|个人网盘,false,信息安全,easy
通过试用期的正式员工每年有多少学习额度？,每个自然年度最高可以申请3000元学习费用。,07-learning-benefits.md,3000元,通过试用期|最高3000元,false,学习福利,easy
1200元岗位认证考试需要谁审批？,需要直属主管和部门负责人审批。,07-learning-benefits.md,直属主管|部门负责人,达到或超过1000元|部门负责人,false,学习福利,medium
比较连续4天年假和远程办公的申请提前时间。,连续4天年假至少提前5个工作日申请；远程办公至少提前1个工作日申请。,01-leave-policy.md|03-remote-work-policy.md,5个工作日|1个工作日,3天及以上|5个工作日|远程办公|1个工作日,false,跨文档,hard
出差时丢失公司设备应该怎么处理？,应立即停止相关操作，并在30分钟内向信息安全团队报告。,05-business-travel-policy.md|06-it-security-policy.md,30分钟|信息安全团队,设备丢失|30分钟|信息安全团队,false,跨文档,hard
公司是否提供免费午餐？,根据当前知识库无法确定。,,无法确定,,true,知识缺失,medium
公司春节放假几天？,根据当前知识库无法确定。,,无法确定,,true,知识缺失,medium
学习额度可以结转到下一年吗？,不可以，学习额度不能跨年度结转。,07-learning-benefits.md,不可以|不能跨年度结转,额度不能跨年度结转,false,学习福利,medium
